"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\App.js", "JavaScript", 0, 93, 31, 37, 161
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\AppLogo.js", "JavaScript", 0, 18, 0, 4, 22
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\BackgroundImage.js", "JavaScript", 0, 39, 0, 4, 43
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\DiceLogo.js", "JavaScript", 0, 7, 0, 4, 11
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\Die.js", "JavaScript", 0, 78, 2, 16, 96
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\MultiDice.js", "JavaScript", 0, 77, 0, 20, 97
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\NavBar.js", "JavaScript", 0, 109, 10, 34, 153
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\NotFound.js", "JavaScript", 0, 15, 0, 5, 20
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\RandomFact.js", "JavaScript", 0, 20, 1, 5, 26
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\ReturnToTopButton.js", "JavaScript", 0, 33, 4, 6, 43
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\components\StartupLogo.js", "JavaScript", 0, 33, 0, 6, 39
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\ClassDetail.js", "JavaScript", 0, 229, 0, 59, 288
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\FeatureDetail.js", "JavaScript", 0, 172, 0, 45, 217
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\MagicItemDetail.js", "JavaScript", 0, 99, 0, 38, 137
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\MonsterDetail.js", "JavaScript", 0, 267, 0, 68, 335
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\RaceDetail.js", "JavaScript", 0, 319, 0, 67, 386
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\SpellDetail.js", "JavaScript", 0, 306, 0, 54, 360
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\detail\TraitDetail.js", "JavaScript", 0, 261, 0, 56, 317
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\index.js", "JavaScript", 0, 7, 1, 3, 11
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Backgrounds.js", "JavaScript", 0, 56, 1, 18, 75
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Classes.js", "JavaScript", 0, 79, 4, 18, 101
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Dice.js", "JavaScript", 0, 58, 0, 22, 80
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Features.js", "JavaScript", 0, 123, 8, 24, 155
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Home.js", "JavaScript", 0, 92, 1, 20, 113
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\MagicItems.js", "JavaScript", 0, 135, 10, 32, 177
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Monsters.js", "JavaScript", 0, 139, 7, 26, 172
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Races.js", "JavaScript", 0, 97, 1, 23, 121
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Reference.js", "JavaScript", 0, 316, 0, 31, 347
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Spells.js", "JavaScript", 0, 138, 8, 34, 180
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\pages\Traits.js", "JavaScript", 0, 135, 8, 24, 167
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Barbarian.js", "JavaScript", 0, 90, 1, 29, 120
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Bard.js", "JavaScript", 0, 152, 1, 29, 182
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\ClassSpells.js", "JavaScript", 0, 144, 0, 20, 164
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Cleric.js", "JavaScript", 0, 145, 1, 31, 177
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Druid.js", "JavaScript", 0, 145, 1, 31, 177
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Fighter.js", "JavaScript", 0, 71, 1, 31, 103
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Monk.js", "JavaScript", 0, 92, 1, 31, 124
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Paladin.js", "JavaScript", 0, 110, 1, 31, 142
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Ranger.js", "JavaScript", 0, 117, 1, 30, 148
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Rogue.js", "JavaScript", 0, 77, 1, 34, 112
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Sorcerer.js", "JavaScript", 0, 152, 1, 31, 184
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Warlock.js", "JavaScript", 0, 123, 1, 31, 155
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tables\Wizard.js", "JavaScript", 0, 145, 1, 31, 177
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tools\AnalyzeLibrary.js", "JavaScript", 0, 54, 3, 16, 73
"c:\Users\llay\Documents\GitHub\Little-Bird\src\js\tools\DebugSandbox.js", "JavaScript", 0, 44, 0, 6, 50
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-cerulean.css", "CSS", 11280, 0, 38, 911, 12229
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-cosmo.css", "CSS", 10884, 0, 38, 888, 11810
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-cyborg.css", "CSS", 11265, 0, 38, 907, 12210
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-darkly.css", "CSS", 11212, 0, 38, 903, 12153
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-default.css", "CSS", 11139, 0, 32, 897, 12068
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-flatly.css", "CSS", 11189, 0, 38, 899, 12126
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-journal.css", "CSS", 11162, 0, 38, 899, 12099
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-litera.css", "CSS", 11267, 0, 38, 906, 12211
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-lumen.css", "CSS", 11417, 0, 38, 914, 12369
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-lux.css", "CSS", 10990, 0, 38, 900, 11928
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-materia.css", "CSS", 12204, 0, 38, 942, 13184
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-minty.css", "CSS", 11236, 0, 38, 903, 12177
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-morph.css", "CSS", 11788, 0, 38, 924, 12750
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-pulse.css", "CSS", 10959, 0, 38, 893, 11890
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-quartz.css", "CSS", 11660, 0, 38, 924, 12622
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-sandstone.css", "CSS", 11257, 0, 38, 906, 12201
"c:\Users\llay\Documents\GitHub\Little-Bird\src\style\bootswatch_v5.3\bootstrap-simplex.css", "CSS", 11237, 0, 38, 911, 12186
